Sentence,entities,extracted_keywords
HDFC Bank recognizes that statutory and financial obligations and equitable partnership as the basic principles used in the process of identifying the stakeholders with whom the Bank is to maintain regular engagement ,"[[""HDFC Bank"", ""ORG"", 0, 9], [""Bank"", ""ORG"", 178, 182]]","['HDFC Bank', 'partnership']"
 We have been recognized for our financial stability and prudent management When you choose HDFC Bank prudent investment plans,"[[""HDFC Bank"", ""ORG"", 92, 101]]","['management', 'HDFC Bank', 'investment']"
HDFC SUSTAINABILITY POLICY Corporate Sustainability CS considers every dimension of corporation as to how it could prosper economically environmentally and socially ,"[[""HDFC"", ""ORG"", 0, 4]]","['Corporate Sustainability', 'HDFC SUSTAINABILITY']"
Who we are At HDFC Bank we are led by singleminded and sincere purpose to uplift and enhance the lives of customers who have placed their trust in us ,"[[""HDFC Bank"", ""ORG"", 14, 23]]",['HDFC Bank']
Janasevana Ayojana Savings,"[[""Janasevana Ayojana Savings"", ""PRODUCT"", 0, 26]]","['Ayojana Savings', 'Janasevana Ayojana Savings']"
PalmTop banking technology has enabled us to expand our service base to grass root level with the use of handheld devices,"[[""PalmTop Banking"", ""SERVICE"", 0, 15]]","['PalmTop banking','banking technology']"
HDFC Prathilaba the right product that suits your requirements and offers the best returns and ease of transactions,"[[""HDFC Prathilaba"", ""PRODUCT"", 0, 15]]","['HDFC Prathilaba', 'HDFC']"
The HDFC Sirisara Loan is designed specifically for the purpose of purchasing home appliances furniture or any other lifestyle enhancement expense allowing you to improve your lifestyle and transform your living space into haven of comfort and elegance,"[[""HDFC Sirisara Loan"", ""PRODUCT"", 4, 22]]","['HDFC', 'HDFC Sirisara Loan']"
Western Union money transfers HDFC Bank savings account holders living in the middle east countries can remit money through this service,"[[""Western Union"", ""ORG"", 0, 13], [""HDFC Bank"", ""ORG"", 30, 39], [""middle east"", ""GPE"", 78, 89]]","['money transfers', 'HDFC Bank', 'Western Union']"
Fixed Deposits rates HDFC Max Deposits Nature of investment Duration Interest Rate At Maturity AER ,"[[""HDFC Max Deposits"", ""PRODUCT"", 21, 38]]","['Deposits rates', 'HDFC Max Deposits', 'investment']"
ATM Transactions Debit Card,"[[""Debit Card"", ""PRODUCT"", 17, 27]]","['Debit Card', 'ATM Transactions', 'ATM', 'Transactions']"
Nivasa Ayojana Savings,"[[""Nivasa Ayojana Savings"", ""PRODUCT"", 0, 22]]","['Ayojana Savings', 'Nivasa Ayojana Savings']"
Gold Loan Advances,"[[""Gold Loan Advances"", ""PRODUCT"", 0, 18]]","['Gold Loan', 'Loan Advances']"
HDFC Bank savings account holders living in the middle east countries can remit money through this service,"[[""HDFC Bank"", ""ORG"", 0, 9], [""middle east"", ""GPE"", 48, 59]]","['HDFC Bank', 'savings account', 'remit money']"
HDFC Bank Sustainability CSR Financials,"[[""HDFC Bank"", ""ORG"", 0, 9]]","['Sustainability', 'CSR Financials', 'HDFC Bank']"
Attractive Fixed Deposit Scheme for senior citizens,"[[""Fixed Deposit Scheme"", ""PRODUCT"", 11, 31]]","['Fixed Deposit Scheme', 'senior citizens']"
Lanka Money Transfer LMT HDFC bank Prathilabha savings account holders can now remit money on real time through this service,"[[""Lanka Money Transfer"", ""SERVICE"", 0, 20], [""LMT"", ""SERVICE"", 21, 24], [""HDFC Bank"", ""ORG"", 25, 34], [""Prathilabha savings account"", ""PRODUCT"", 35, 62]]","['remit money', 'Money Transfer', 'Lanka Money Transfer','LMT','HDFC Bank', 'Prathilabha savings account']"
Kedella Housing Loan Discover the gateway to turning your dreams into reality ,"[[""Kedella Housing Loan"", ""PRODUCT"", 0, 20]]","['Housing Loan', 'Kedella Housing Loan']"
Our meticulously designed savings schemes help you achieve your financial goals with ease,"[[""savings schemes"", ""PRODUCT"", 26, 41]]","['savings schemes','shortterm savings']"
HDFC bank Prathilabha savings account holders can now remit money on real time through this service,"[[""HDFC Bank"", ""ORG"", 0, 9], [""Prathilabha savings account"", ""PRODUCT"", 10, 37]]","['HDFC bank', 'Prathilabha savings account', 'remit money']"
HDFC Thilina Planning for your child financial stability is key to their future growth ,"[[""HDFC Thilina Planning"", ""PRODUCT"", 0, 21]]","['child', 'HDFC Thilina Planning']"
At HDFC we firmly believe that everyone deserves chance to build secure future and own their dream home business or lifestyle ,"[[""HDFC"", ""ORG"", 3, 7]]",['HDFC']
Explore our range of Gold loans designed for your unique needs,"[[""Gold Loans"", ""PRODUCT"", 21, 31]]","['Gold loans','loans']"
Corporate Sustainability CS considers every dimension of corporation as to how it could prosper economically environmentally and socially ,"[[""Corporate Sustainability"", ""SERVICE"", 0, 24]]","['Corporate Sustainability', 'CS', 'Sustainability']"
HDFC philosophy on sustainability is incorporating sustainability Considerations as an integral part of it business and creating balanced longterm benefits for all our stakeholders,"[[""HDFC"", ""ORG"", 0, 4]]","['HDFC', 'sustainability']"
Vishrama Udana Fixed Deposit,"[[""Vishrama Udana Fixed Deposit"", ""PRODUCT"", 0, 28]]","['Fixed Deposit', 'Vishrama Udana Fixed Deposit']"
HDFC Vishrama Rekawarana is our unique Retirement Fund customized financial instrument that caters to the special needs of social clusters such as the Agricultural Farming community Government Teachers community and nongovernmental industrial workers community,"[[""HDFC Vishrama Rekawarana"", ""PRODUCT"", 0, 24]]","['Retirement Fund', 'HDFC', 'HDFC Vishrama Rekawarana']"
Start depositing your salary or minimum of per month into the HDFC Salary Saver account and enjoy host of great benefits,"[[""HDFC Salary Saver"", ""PRODUCT"", 62, 79]]","['HDFC Salary Saver', 'HDFC']"
HDFC Smart Goals,"[[""HDFC Smart Goals"", ""PRODUCT"", 0, 16]]","['HDFC Smart Goals', 'HDFC']"
HDFC Vishrama Rekawarana,"[[""HDFC Vishrama Rekawarana"", ""PRODUCT"", 0, 24]]","['HDFC', 'HDFC Vishrama Rekawarana']"
HDFC Thilina Planning for your child financial stability is key to their future growth That is why we have designed Thilina Savings Account personalized Investment Account exclusively for children ,"[[""HDFC Thilina Planning"", ""PRODUCT"", 0, 21], [""Thilina Savings"", ""PRODUCT"", 116, 131]]","['child', 'HDFC Thilina Planning', 'Thilina Savings', 'Investment Account']"
HDFC Thilina Rekawarana Children Investment Plan specially designed to guarantee your child future financial security ,"[[""HDFC Thilina Rekawarana Children Investment Plan"", ""PRODUCT"", 0, 48]]","['Children Investment', 'HDFC Thilina Rekawarana Children Investment Plan']"
HDFC Salary Saver Unique savings solution for monthly income earners is the best option to save some of your hardearned money and ensure brighter future,"[[""HDFC Salary Saver"", ""PRODUCT"", 0, 17]]","['HDFC', 'HDFC Salary Saver']"
HDFC Bank joins with LankaPay Just Pay system to facilitate hassle free transactions for our Prathilabha savings account holders ,"[[""HDFC Bank"", ""ORG"", 0, 9], [""LankaPay"", ""ORG"", 21, 29], [""Prathilabha savings account"", ""PRODUCT"", 93, 120]]","['HDFC Bank', 'Prathilabha savings account', 'LankaPay']"
HDFC Development and Corporate Loan Scheme,"[[""HDFC Development and Corporate Loan Scheme"", ""PRODUCT"", 0, 42]]","['Corporate Loan', 'HDFC Development and Corporate Loan Scheme','HDFC']"
HDFC Vishrama Udana Fixed Deposits is fixed deposit scheme designed exclusively for Senior Citizens ensuring the safety and growth of your investments,"[[""HDFC Vishrama Udana"", ""PRODUCT"", 0, 19], [""Fixed Deposits"", ""PRODUCT"", 20, 34]]","['HDFC Vishrama Udana', 'deposit scheme', 'Fixed Deposits', 'HDFC']"
HDFC Bank joins with LankaPay Just Pay system to facilitate hassle free transactions for our Prathilabha savings account,"[[""HDFC Bank"", ""ORG"", 0, 9], [""LankaPay"", ""ORG"", 21, 29], [""Prathilabha savings account"", ""PRODUCT"", 93, 120]]","['HDFC Bank', 'Prathilabha savings account', 'LankaPay']"
HDFC Gold Advance allows you to leverage your gold assets to obtain funds for shortterm needs including financial emergencies ,"[[""HDFC Gold Advance"", ""PRODUCT"", 0, 17]]","['HDFC', 'HDFC Gold Advance']"
HDFC Salary Saver,"[[""HDFC Salary Saver"", ""PRODUCT"", 0, 17]]","['HDFC Salary Saver', 'HDFC']"
HDFC Leasing Embark on an extraordinary journey of growth and elevate your possibilities with our unparalleled leasing services,"[[""HDFC Leasing"", ""ORG"", 0, 12]]","['HDFC Leasing','HDFC', 'Leasing']"
Digital HDFC embraced modern technology to keep abreast with development and to best serve its constantly increasing volume of customers ,"[[""Digital HDFC"", ""ORG"", 0, 12]]","['Digital HDFC', 'Digital', 'HDFC']"
Kedella Housing Loan is your ultimate partner for all your housing purposes to achieve your dream home,"[[""Kedella Housing Loan"", ""PRODUCT"", 0, 20]]","['Housing Loan', 'Kedella Housing Loan']"
Savings schemes help you achieve your financial goals with ease offering competitive interest rates and flexible terms to suit your preferences Whether youre looking for shortterm savings or longterm investments we have the right solution for you,"[[""Savings schemes"", ""PRODUCT"", 0, 15]]",['savings schemes']
HDFC Gold Loans allow customers to leverage their gold assets to obtain funds for shortterm needs including financial emergencies ,"[[""HDFC Gold Loans"", ""PRODUCT"", 0, 15]]","['Gold Loans', 'HDFC', 'HDFC Gold Loans']"
Western Union money transfers,"[[""Western Union"", ""ORG"", 0, 13]]","['money transfers', 'Western Union']"
HDFC Thilina Rekawarana,"[[""HDFC Thilina Rekawarana"", ""PRODUCT"", 0, 23]]","['HDFC', 'HDFC Thilina Rekawarana']"
COVID Integrated Homebased Care Solution,"[[""COVID Integrated Homebased Care Solution"", ""PRODUCT"", 0, 40]]",['COVID Integrated Homebased Care Solution']
Green Loans for Personnel Other Sustainable Development Loans ,"[[""Green Loans"", ""PRODUCT"", 0, 11], [""Sustainable Development Loans"", ""PRODUCT"", 32, 61]]","['Green Loans', 'Development Loans', 'Loans', 'Sustainable Development']"
When you make payments from your BOC Debit Card you can choose to deposit money from your expenses ,"[[""BOC Debit Card"", ""PRODUCT"", 33, 47]]","['BOC', 'Debit Card', 'deposit money']"
Ran Surekum Naya Sewa Gold Loan ,"[[""Ran Surekum Naya Sewa Gold Loan"", ""PRODUCT"", 0, 31]]","['Gold Loan', 'Ran Surekum Naya Sewa']"
Foreign Currency Savings Deposits,"[[""Foreign Currency Savings Deposits"", ""PRODUCT"", 0, 33]]","['Currency Savings', 'Savings Deposits', 'Foreign Currency']"
Senior Credit Manager,"[[""Senior Credit Manager"", ""PERSON"", 0, 21]]","['Credit Manager', 'Senior Credit Manager']"
BOC Smartgen Next Generation Savings Account The next generation of savings accounts offers customers wide array of services to enjoy the speed and convenience of banking with Bank of Ceylon Account ," [[""BOC Smartgen Next Generation Savings Account"", ""PRODUCT"", 0, 44], [""Bank of Ceylon"", ""ORG"", 176, 190]]","['Savings Account', 'BOC Smartgen']"
Regular Current Account comes with range of benefits to manage your daytoday transactions either personal or business,"[[""Regular Current Account"", ""PRODUCT"", 0, 23]]","['Current Account', 'transactions']"
This loan scheme is designed to provide financial support to professionals in designated sectors,"[[""loan scheme"", ""PRODUCT"", 5, 16]]","['loan scheme', 'financial support']"
BOC Chairman Kavinda de Zoysa with over years of industry experience and years in management brings leadership and strategic insights to BOC,"[[""BOC Chairman"", ""PERSON"", 0, 12], [""Kavinda de Zoysa"", ""PERSON"", 13, 29]]","['BOC Chairman', 'leadership', 'BOC']"
BOC Kantha Ran Ginum Savings Certificate is lump sum investment option exclusively designed for ladies offering higher return FeaturesFace Value ,"[[""BOC Kantha Ran Ginum Savings"", ""PRODUCT"", 0, 28]]","['Savings', 'BOC Kantha']"
BOC Smart Freelancer ,"[[""BOC Smart Freelancer"", ""PRODUCT"", 0, 20]]","['Smart Freelancer', 'BOC Smart Freelancer', 'BOC']"
BOC Credit Cards,"[[""BOC Credit Cards"", ""PRODUCT"", 0, 16]]","['BOC Credit Cards','BOC']"
BOC Special Credit Cards,"[[""BOC Special Credit Cards"", ""PRODUCT"", 0, 24]]","['Credit Cards', 'BOC', 'BOC Special Credit Cards']"
Master Titanium Card ,"[[""Master Titanium Card"", ""PRODUCT"", 0, 20]]","['Titanium Card', 'Master Titanium Card']"
Visa Platinum Card,"[[""Visa Platinum Card"", ""PRODUCT"", 0, 18]]","['Platinum Card', 'Visa Platinum Card']"
Visa Gold Card ,"[[""Visa Gold Card"", ""PRODUCT"", 0, 14]]","['Visa Gold', 'Gold Card']"
Visa Classic Card ,"[[""Visa Classic Card"", ""PRODUCT"", 0, 17]]","['Visa Classic', 'Classic Card']"
BOC Abhimana Government Pensioners Loan Scheme To empower dynamic workforce for the nation economic development ,"[[""BOC Abhimana Government Pensioners Loan Scheme"", ""PRODUCT"", 0, 46]]","['Pensioners Loan', 'Government Pensioners', 'Loan Scheme', 'BOC Abhimana Government Pensioners Loan Scheme', 'BOC']"
Sustainability Policy Framework of the Bank of Ceylon,"[[""Sustainability Policy Framework"", ""SERVICE"", 0, 31], [""Bank of Ceylon"", ""ORG"", 39, 53]]","['Sustainability', 'Bank of Ceylon']"
Senior Citizens Fixed Deposits The highest security and maximum returns on your investment fixed deposit account dedicated to Sri Lankan citizens over years of age offering the highest security and maximum returns on your investment,"[[""Senior Citizens Fixed Deposits"", ""PRODUCT"", 0, 30]]","['Senior Citizens', 'Fixed Deposits']"
"Kapruka Credit Scheme, Coconut Development Loan Scheme,NCRCS New Comprehensive Rural Credit Scheme ,NCRCS Friends II Credit Scheme under Environmentally Friendly Solution ","[[""Kapruka Credit Scheme"", ""PRODUCT"", 0, 21], [""Coconut Development Loan Scheme"", ""PRODUCT"", 23, 54], [""NCRCS New Comprehensive Rural Credit Scheme"", ""PRODUCT"", 55, 98]]","['Kapruka Credit Scheme', 'Rural Credit Scheme', 'NCRCS Friends II Credit Scheme', 'Coconut Development Loan Scheme']"
Fund Siriliya Saviya Credit scheme to finance income generating projects for women ,"[[""Siriliya Saviya Credit scheme"", ""PRODUCT"", 5, 34]]",['Siriliya Saviya Credit scheme']
BOC Mithuru Uplifting the living standard of the community ,"[[""BOC Mithuru"", ""PRODUCT"", 0, 11]]","['BOC Mithuru', 'community']"
SMELoC Tea Smallholder Credit Line Tea Smallholder Credit Line ,"[[""SMELoC Tea Smallholder Credit Line"", ""PRODUCT"", 0, 34]]","['SMELoC Tea Smallholder Credit Line', 'Tea']"
JFPR Component to increase tea leaf production by way of new planting replanting infilling nursery development irrig Sashreeka Special Loan Scheme to support the local Organic Fertilizer Pesticides and Herbicides Manufacturers ,"[[""JFPR Component"", ""ORG"", 0, 14], [""Sashreeka Special Loan Scheme"", ""PRODUCT"", 117, 146]]","['tea leaf production', 'Sashreeka Special Loan Scheme', 'JFPR']"
MSME Financial Assistance for Development of Priority Sectors Micro Small and Medium Enterprise MSME SME Energizer ,"[[""MSME Financial Assistance"", ""SERVICE"", 0, 25],[""Micro Small and Medium Enterprise"",""ORG"",62,95],[""MSME"",""ORG"",96,100], [""SME"", ""ORG"", 101, 104]]","['MSME Financial', 'Medium Enterprise', 'Priority Sectors', 'SME']"
SME Online loan from your phone Pledge Facilities for Purchasing of Harvesting Commodities ,"[[""SME"",""ORG"",0,3]]","['SME', 'Online loan', 'Harvesting Commodities']"
BOC Youth Loan for Dream SMILE ,"[[""BOC Youth Loan"", ""PRODUCT"", 0, 14], [""Dream SMILE"", ""PRODUCT"", 19, 30]]","['BOC Youth', 'Dream SMILE', 'Youth']"
Entrepreneur Promotion Project Revolving Fund SMILE III RF Divi Udana Development Loans Scheme ,"[[""SMILE III RF Divi Udana Development Loans Scheme"", ""PRODUCT"", 46, 94]]","['Development Loans', 'SMILE III RF Divi Udana Development Loans Scheme', 'Udana Development']"
Our Fixed Deposit allows you to deposit your money securely for set period of time to earn higher returns on your savings by offering you the most competitive fixed deposit rates in Sri Lanka,"[[""Fixed Deposit"", ""PRODUCT"", 4, 17], [""Sri Lanka"", ""GPE"", 182, 191]]","['Fixed Deposit', 'deposit rates']"
BOC Flexi Investor is goalbased investment account offered to achieve your targets in the way you desire,"[[""BOC Flexi Investor"", ""PRODUCT"", 0, 18]]"," ['goal-based investment', 'Flexi Investor', 'BOC Flexi Investor', 'BOC']"
Welcome to the world of BOC Credit Cards where your financial journey intersects with limitless opportunities ,"[[""BOC Credit Cards"", ""PRODUCT"", 24, 40]]"," ['BOC Credit Cards', 'Credit Cards']"
Kantha Ran Ginum BOC Smart Online Banking facility BApp Valid until conditions apply ,"[[""Kantha Ran Ginum"", ""PRODUCT"", 0, 16], [""BOC Smart Online Banking"", ""SERVICE"", 17, 41]]","['Kantha Ran Ginum', 'BOC Smart', 'Online Banking', 'Banking Facility']"
Russel Fonseka joined the Bank of Ceylon in In his tenure of over years in the Bank ,"[[""Russel Fonseka"", ""PERSON"", 0, 14], [""Bank of Ceylon"", ""ORG"", 26, 40]]","['Russel Fonseka', 'Bank of Ceylon']"
BOC Premier Banking Centre,"[[""BOC Premier Banking Centre"", ""ORG"", 0, 26]]","['Premier Banking', 'Banking Centre', 'BOC Premier']"
LOCAL Thuru Green Savings ,"[[""Thuru Green Savings"", ""PRODUCT"", 6, 25]]","['Thuru Green Savings', 'Green Savings']"
Ran Ulpatha BOC Savings Digitally enabled for your convenience ,"[[""Ran Ulpatha BOC Savings"", ""PRODUCT"", 0, 23]]","['BOC Savings', 'Ran Ulpatha BOC Savings', 'Savings Digitally']"
BOC Senior Citizens Savings Kantha Ran Ginum My World My Way,"[[""BOC Senior Citizens Savings"", ""PRODUCT"", 0, 27], [""Kantha Ran Ginum"", ""PRODUCT"", 28, 44]]","['Senior Citizens Savings', 'BOC Senior Citizens Savings', 'Kantha Ran Ginum', 'BOC']"
Help your child achieve their future dreams today with Ran Kekulu Smart Account the best Children savings account in Sri Lanka by BOC,"[[""Ran Kekulu Smart Account"", ""PRODUCT"", 55, 79]]","['Ran Kekulu Smart Account', 'Children Savings', 'BOC']"
All inclusive Credit Packages with CapEx Working Capital Financing Credit packages for your growth ,"[[""CapEx Working Capital Financing Credit"", ""SERVICE"", 35, 73]]","['Credit Packages', 'CapEx Working Capital', 'Financing Credit']"
The Safe Deposit Locker facility is one of the value added services provided by the BOC to keep your valuable belongings and documents safe and secure Features ,"[[""Safe Deposit Locker"", ""PRODUCT"", 4, 23], [""BOC"", ""ORG"", 84, 87]]","['Deposit Locker', 'BOC', 'Locker facility']"
Foreign Currency Fixed Deposits,"[[""Foreign Currency Fixed Deposits"", ""PRODUCT"", 0, 31]]"," ['Foreign Currency', 'Fixed Deposits', 'Currency Deposits']"
Purpose ROI Fixed Special Loan Scheme for Purchasing of Solar Power System,"[[""Special Loan Scheme"", ""PRODUCT"", 18, 37]]","['Special Loan Scheme', 'Solar Power System', 'Loan Scheme']"
BOC net Facility Internet and Mobile Banking Facility BOC Smart Online Banking Corporate Version provides total online banking solution for corporate customers Services ,"[[""BOC net Facility"", ""SERVICE"", 0, 16],[""Internet and Mobile Banking Facility "",""SERVICE"",17,53], [""BOC Smart Online Banking"", ""SERVICE"", 54, 78]]","['Online Banking', 'Mobile Banking', 'BOC Smart Online Banking', 'BOC Smart']"
The Best Corporate Bank Account in Sri Lanka As business you need to have the assurance that your financial needs can be met with ease and convenience and no hassle ,"[[""Corporate Bank Account"", ""PRODUCT"", 9, 31]]","['Corporate Bank Account', 'Sri Lanka', 'Bank Account']"
Special loan scheme for sustainable energy and ecofriendly products,"[[""Special Loan Scheme"", ""PRODUCT"", 0, 19]]","['Special Loan Scheme', 'sustainable energy', 'ecofriendly products']"
Secure Your Child Future With Ran Kekulu Smart the Best Children Savings Account in Sri Lanka by BOC ,"[[""Ran Kekulu Smart"", ""PRODUCT"", 30, 46], [""Sri Lanka"", ""GPE"", 84, 93], [""BOC"", ""ORG"", 97, 100]]","['Children Savings', 'Savings Account', 'Ran Kekulu Smart']"
BOC has extended Portfolio Management Services PMS to range of clients including high networth individuals corporates and funds through BOC Investment Banking ,"[[""Portfolio Management Services"", ""SERVICE"", 17, 46], [""PMS"", ""SERVICE"", 47, 50], [""BOC Investment Banking"", ""SERVICE"", 136, 158]]","['BOC Investment', 'Portfolio Management Services' ,'PMS', 'BOC Investment Banking']"
BOC Haritha Kekulu account Secure your child future with financial stability together with safe environment ,"[[""BOC Haritha Kekulu"", ""PRODUCT"", 0, 18]]","['BOC Haritha Kekulu', 'child future', 'Secure']"
Personal Current Accounts Time Deposits,"[[""Personal Current Accounts"",""PRODUCT"",0,25]]","['Personal Current Accounts', 'Time Deposits']"
BOC Special Vehicle Leasing Scheme for Professionals ,"[[""BOC Special Vehicle Leasing Scheme"", ""PRODUCT"", 0, 38]]","['Vehicle Leasing', 'BOC Special Vehicle Leasing Scheme', 'BOC']"
Bank of Ceylon has fullyfledged comprehensive Sustainability Policy which is reviewed annually by the sustainability unit ,"[[""Bank of Ceylon"", ""ORG"", 0, 14], [""annually"", ""DATE"", 86, 94]]","['Sustainability Policy', 'Bank of Ceylon', 'Sustainability']"
The Ran Kekulu Smart Children Savings Account offers many benefits ,"[[""Ran Kekulu Smart Children Savings Account"", ""PRODUCT"", 4, 45]]","['Children Savings', 'Ran Kekulu Smart Children Savings Account']"
App It your convenient power tool in hand for mobile banking,"[[""mobile banking"",""SERVICE"",46,60]]",['mobile banking']
Trade smarter with BOC Trade Services ,"[[""BOC Trade Services"", ""SERVICE"", 19, 37]]","['BOC Trade Services', 'BOC']"
Bank of Ceylon Premier Banking offers you highly personalised experience designed exclusively for private banking customers,"[[""Bank of Ceylon Premier Banking"", ""SERVICE"", 0, 30]]","['private banking', 'Bank of Ceylon', 'Premier Banking', 'Bank of Ceylon Premier Banking']"
BOC Kantha Ran Ginum Card ,"[[""BOC Kantha Ran Ginum Card"", ""PRODUCT"", 0, 25]]","['BOC Kantha Ran Ginum Card', 'BOC']"
BOC Personal Loans for Members of professional bodies,"[[""BOC Personal Loans"", ""PRODUCT"", 0, 18]]","['Personal Loans', 'BOC Personal Loans', 'BOC']"
My Health Savings Scheme Putting your health first ,"[[""My Health Savings Scheme"", ""PRODUCT"", 0, 2]]","['Health Savings', 'My Health Savings Scheme']"
Abhimana Retirement Scheme Secure your future,"[[""Abhimana Retirement Scheme"", ""PRODUCT"", 0, 26]]","['Abhimana Retirement Scheme', 'Retirement']"
 Smart Lady Investment Account Inspire your goals Smart Investor Wise Investment to fulfill your hopes ,"[[""Smart Lady Investment Account"", ""PRODUCT"", 0, 30], [""Smart Investor Wise Investment"", ""PRODUCT"", 50, 80]]","['Smart Investor', 'Smart Investor Wise Investment', 'Smart Lady Investment Account']"
Tea Smallholder Credit Line to increase tea leaf production by way of new planting replanting infilling nursery development,"[[""Tea Smallholder Credit Line"", ""PRODUCT"", 0, 27]]","['tea leaf', 'Tea Smallholder Credit Line']"
Normal Savings Debit Card ,"[[""Normal Savings Debit Card"", ""PRODUCT"", 0, 25]]","['Debit Card', 'Normal Savings Debit Card']"
The next generation of savings accounts offers customers wide array of services to enjoy the speed and convenience of banking with Bank of Ceylon Account,"[[""Bank of Ceylon"", ""ORG"", 131, 145]]","['savings accounts', 'Bank of Ceylon']"
Purchase build or renovate your home with housing loans from BOC offered at favourable housing loan interest rates in the market ,"[[""housing loans"",""PRODUCT"",42,55],[""BOC"", ""ORG"", 61, 64]]","['housing loan', 'BOC']"
Bank of Ceylon has fullyfledged comprehensive Sustainability Policy which is reviewed annually by the sustainability unit,"[[""Bank of Ceylon"", ""ORG"", 0, 14]]","['Bank of Ceylon', 'comprehensive Sustainability', 'Sustainability Bank']"
BOC Smart Salary Saver account is special product dedicated for salaried individuals to manage their hard earnings with multitude of convenient banking facilities ,"[[""BOC Smart Salary Saver"", ""PRODUCT"", 0, 22]]","['BOC', 'BOC Smart Salary Saver']"
Bank of Ceylon holds the authority to change add or revise any condition term or statement in this facility,"[[""Bank of Ceylon"", ""ORG"", 0, 14]]",['Bank of Ceylon']
Animal Husbandry Business Loans In Sri Lanka offer wide range of business loans in Sri Lanka covering diverse sectors and needs from agriculture to fisheries,"[[""Business Loans"",""PRODUCT"",17,31],[""Sri Lanka"", ""GPE"", 35, 44], [""Sri Lanka"", ""GPE"", 83, 92]]","['Business Loans', 'Loans', 'Animal Husbandry']"
BOC META Banking Typically replies within seconds,"[[""BOC META Banking"", ""SERVICE"", 0, 16]]","['Banking', 'BOC META Banking']"
Herbicides Manufacturers SLOFPHM SME Circle Where your plans progress day by day ,"[[""Herbicides Manufacturers"", ""ORG"", 0, 24], [""SLOFPHM SME Circle"", ""ORG"", 25, 43]]","['Herbicides Manufacturers', 'Manufacturers SLOFPHM', 'Herbicides']"
BOC RanLiya loan to empower the Entrepreneur in her NanaJaya Scholarships for SMARTGEN Achievers Conquer tomorrow as an achiever ,"[[""BOC RanLiya loan"", ""PRODUCT"", 0, 16], [""tomorrow"", ""DATE"", 105, 113]]","['Entrepreneur', 'RanLiya loan', 'NanaJaya Scholarships', 'BOC']"
Manusavi Loan Scheme For Sri Lankan Migrant Workers,"[[""Manusavi Loan Scheme"", ""PRODUCT"", 0, 20]]","['Manusavi Loan Scheme', 'Migrant Workers']"
BOC Debit Card is revolutionary form of cash that allows customers to access their bank account around the world ,"[[""BOC Debit Card"", ""PRODUCT"", 0, 14]]","['Debit Card', 'BOC', 'BOC Debit Card']"
The Investment Banking Division of BOC is geared to help you manage your portfolio with basket of highly secure instruments ,"[[""Investment Banking Division"", ""ORG"", 4, 31], [""BOC"", ""ORG"", 35, 38]]","['Investment Banking', 'BOC']"
BOC Prestige Plus Personal Current Account is designed exclusively to feed the dynamic needs of demanding professionals and busy executives packed with offering host of convenient features and benefits to suit their lifestyles,"[[""BOC Prestige Plus Personal Current Account"", ""PRODUCT"", 0, 42]]","['BOC Prestige', 'BOC Prestige Plus Personal Current Account']"
Tea Smallholder Loan Scheme Empowering Small Scale Tea Estate Holders,"[[""Tea Smallholder Loan Scheme"", ""PRODUCT"", 0, 27]]","['Smallholder Loan', 'Tea Smallholder Loan Scheme', 'Tea Estate']"
Ran Surekum Naya Seva,"[[""Ran Surekum Naya Seva"", ""PRODUCT"", 0, 21]]",['Ran Surekum Naya Seva']
Do What You Want To Do Achieve Your Dreams With BOC Personal Loan,"[[""BOC Personal Loan"", ""ORG"", 48, 65]]","['Personal Loan', 'Loan', 'BOC']"
BOC Housing Loan Scheme For your dream Housing Loan for University Staff Housing Loan Scheme for the Permanent Cadre Employees,"[[""BOC Housing Loan Scheme"", ""PRODUCT"", 0, 23]]","['BOC Housing Loan Scheme', 'Housing Loan', 'BOC']"
Special Credit Scheme for Purchasing of Solar Power Systems,"[[""Special Credit Scheme"", ""PRODUCT"", 0, 21]]","['Solar Power','Special Credit Scheme']"
Convenient Machinery Vehicle Leasing in Sri Lanka with BOC,"[[""Sri Lanka"", ""GPE"", 40, 49], [""BOC"", ""ORG"", 55, 58]]","['Vehicle Leasing', 'BOC']"
Jayashantha was appointed to the Corporate Management of the Bank in marking the commencement of distinguished career within the institution ,"[[""the Corporate Management of the Bank"", ""ORG"", 29, 65]]","['Corporate Management', 'appointed']"
BOC World Master Card,"[[""BOC World Master Card"", ""PRODUCT"", 0, 21]]","['Master Card', 'BOC World Master Card', 'BOC']"
BOC multi currency travel card for all your expenses while travelling overseas without the hassle of carrying cash and cheques ,"[[""BOC multi currency travel card"", ""PRODUCT"", 0, 30]]","['travel card', 'BOC multi currency travel card', 'BOC']"
Domestic Foreign Currency Deposits Maximize Returns with FC Deposits,"[[""Domestic Foreign Currency Deposits"", ""SERVICE"", 0, 34], [""FC Deposits"", ""PRODUCT"", 57, 68]]","['Currency Deposits', 'Foreign Currency', 'FC Deposits']"
Bank of Ceylon unveiled BOC Haritha Kekulu Savings Scheme for children in the age of years with the objective of encouraging the future generation of our nation to think green and be ecofriendly ,"[[""Bank of Ceylon"", ""ORG"", 0, 14], [""BOC Haritha Kekulu Savings Scheme"", ""PRODUCT"", 24, 57]]","['Bank of Ceylon', 'BOC Haritha Kekulu Savings Scheme']"
